,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8
Q11P,-0.09281544391540854,-0.1096549064892343,0.07033853734390184,0.026291555624146437,0.1760995868297899,0.08388666115744774,0.016154614423571113,0.07258566832877057
Q12P,0.031090213422652415,-0.07155677880071086,-0.011035042205946408,0.12793540460315123,0.05753307649686004,-0.048694797517484976,-0.18238968086072624,-0.01723537141808213
Q149,0.08299462140976593,0.0790255840332333,0.03847703884501016,-0.03400875329946149,0.01329983741844765,0.07498989314612826,0.08493636563296297,0.0912654966906854
Q150,0.13410955467128044,0.2329355639850404,0.01099314553687664,0.029277337722996198,-0.08542720009824019,0.038806861607779936,0.02425213825540595,0.06171581504885712
Q151P,0.20595213263476303,0.331925241827181,0.09053031080288854,0.05306606245017113,-0.11077687316095941,0.03193399994414743,-0.0042381902259507435,0.07015430008624195
Q15P,0.5109817533590065,0.17032760982689873,-0.0542503277091901,0.013828044151348308,0.03674552634858291,0.06618135264294922,0.11808832735796523,-0.0671207243400651
Q165P,0.6702963734837467,0.1054669983236754,-0.10666764718641845,-0.0198726717866225,-0.11598057833080476,0.001787451804115963,-0.034986669492868105,0.10064643163821567
Q166P,0.5020030493740216,0.08135610667855127,0.029619585135656466,0.024710297351216326,0.03659114312949191,0.005155707924847163,0.022001525833125916,-0.02974402253125402
Q16P,-0.014623246159162936,-0.0688608666667946,0.013186645308302483,0.0612342953146766,0.15636701502197348,0.04651210205614312,-0.04964332351004323,0.050685972382528796
Q17P,0.2242008610456019,0.1356828991338894,-0.14411874941228456,-0.026301334826152302,0.020525086343425536,0.047091010001446054,-0.008729001362141286,0.1363081133110213
Q19P,0.005081983668326942,0.08584650366459808,0.03834443124871712,-0.016971140569285337,0.03982798542092686,0.6902932913198986,0.006021292988934346,0.10761096395888035
Q20P,0.00586324127795673,0.31268323447143903,0.1810710696255987,-0.014247353130190323,-0.023225292144344767,0.4069429911333951,0.179110164171355,0.004898285542625976
Q21P,-0.015420778485134947,0.13492999022195915,0.035673509060725805,-0.0397858506803563,0.06541556192128731,0.6147631933581962,-0.009648294489589747,0.07027249351298766
Q22P,0.202432710390019,0.39489860876401983,0.07374968999513784,0.04699861497010565,-0.06475419594485426,0.3219125814908954,0.21357755296088005,-0.086262483604797
Q23P,0.0630102338159205,0.10895279850249283,0.056652047594856286,-0.037389827109072765,0.04308288074118482,0.6219352848034174,0.047783538936141026,0.0835124570012621
Q25P,0.23358910429169688,0.27099943192842124,0.1116152128412045,0.040226957854825426,0.03647360659585726,0.4688551559794851,0.17170446354849198,-0.15914584429909046
Q26P,0.04576135160880466,0.06378268655672661,0.035514004608209915,-0.02423494310326296,0.07181915075004612,0.6070862726878401,0.03430166384349665,0.09083539705788554
Q57P,-0.18786363235227072,-0.17508195502940202,0.25967819707867357,0.11168580341164124,0.13233429169489722,0.015070324697046555,-0.01163669077265986,-0.019344604739978746
Q8P,-0.16235389416093565,-0.07268033744582574,0.15021157176928182,0.052778211476744746,0.11675100475542428,0.024388180904492483,-0.03107975207944984,0.03265362768553572
Q9P,0.013378711768915193,0.1949138439332177,0.09167559886423139,0.05884129075972242,-0.05205713016459232,0.058608795892308274,0.03234826869162453,0.04065231041691554
Q106,0.06951253242986867,0.1975885948063778,0.043430928735616665,0.1480475597958791,0.002769725744776686,0.00589502354675553,-0.025788518136093962,0.21679277104276257
Q107,0.07281968859438614,0.09209602312821326,0.04675657524864678,0.10983185165792705,0.05497555087487965,0.03762003020615572,0.11756131616704844,0.20728811105275516
Q108,-0.040037441380605304,-0.007771509940282429,0.07150521817218244,0.004052809667710645,0.08474887228241304,0.005994960133960475,-0.03514662312708809,0.32665644908988356
Q109,0.0038843742638801837,-0.054604296057727736,0.0005589894751691305,-0.09065025624324426,0.17126969152229277,0.0361350974566752,0.10239358142611017,0.3112988418573268
Q110,-0.10104050705907314,-0.06961838018638039,-0.006699542830694159,-0.007469198024530938,0.24990378903261196,0.06265717974340598,0.062266528211451476,0.24367455337857888
Q111,0.06611953886351214,0.1423510711142324,-0.012529251066515484,-0.060514427474297486,0.1084376672645562,0.06297588798767896,0.057775003911556835,0.058872937982681714
Q112,0.2143202589058869,0.20378869040671937,-0.3673609381130086,0.14163520013067604,-8.730701480792521e-05,-0.02894603631992139,-0.08374767074938051,0.1433142623378268
Q121,-0.06181006610596136,-0.19138358634244473,0.1943715633708983,0.16387011859968728,0.05066080574320529,-0.09792426538852975,-0.003810802896453515,0.16480069543357065
Q123,-0.06652047522645622,-0.10192019053627928,0.1600102575131479,0.24712563223322256,0.07820287761083863,-0.07724212867075234,-0.05335507591942886,0.013158241959235975
Q124,0.005782348934927867,0.2606325370879167,-0.10413027014979306,0.03169196020656061,0.04219754252057335,0.042951819982245426,-0.08391129644000742,0.0020568041874788486
Q130P,0.001887844809931134,-0.17532640523195828,0.11453988336626661,0.12297675560825676,0.11325080319357968,-0.05410592433463917,-0.05054745174301084,0.12162892969262197
Q160,0.13249257414614068,0.14325083510044465,-0.06041042793254044,0.02468538948658805,-0.021259607923925488,0.02613338589938651,-0.009067610251363602,0.3338807511468584
Q162,0.03837251685368608,0.07096012203022697,-0.03893334683798322,-0.08804578391627457,0.11110510564228246,0.04118793541446867,0.07320210898376024,0.2991810431586157
Q163,-0.06296855843130461,0.07149630150338271,0.21612645832956426,0.2836788245253809,0.020949764147550277,0.02244522068797499,0.009236475449360293,0.05616609233633356
Q164,0.7607532630732811,0.2101216431937894,-0.1368563854694126,0.009383409656157074,-0.1540249984756882,0.026928122577902648,0.027147749432397172,0.17176268445400583
Q169P,0.6043568031608794,0.36415550093188664,0.006467997583517244,-0.06013904885242824,0.011043678610984743,0.09234770274371502,0.24970769352550723,-0.026451145123751265
Q170P,0.4592674022065933,0.4065018461707555,0.054082996334337906,-0.04609765094348543,0.025230533174470576,0.1648386862673239,0.2810061835554945,-0.05086300532397351
Q171P,0.6059949187889663,0.1529267635767732,0.016291803973923314,-0.03491890981451001,-0.0512668463099473,0.02174976671375496,0.06674969802611026,0.10596249235712193
Q172P,0.7717309081015036,0.17923789999187428,-0.03997909029688697,-0.020432092117537385,-0.07526629271021132,0.033747821756364725,0.04139350295002085,0.07095239127771681
Q173P,0.6394817196644724,0.1082340123751438,-0.04111959197518592,0.05326946969640652,-0.11360280638494921,0.015229797767205958,-0.041703959852556184,0.08570527210253867
Q176P,0.09075482790677071,0.1050396993366961,0.0020881277654764734,0.054190018040852946,0.0816236035483764,0.028185159380782348,0.024794280727199365,0.013752232683755002
Q180,-0.00390177165127741,0.015673288199415786,0.032273948815959706,-0.1576480397858463,0.46055456773567155,0.03338547245983839,0.12183808063191161,0.23830956863241493
Q182,-0.3090269907490788,-0.41226387368325795,0.09774319888218251,0.16528691298124795,0.4608535143349353,-0.10978108967024892,-0.25521942542260984,0.012107004712352225
Q184,-0.3408745931101486,-0.27321584313650876,0.11215155645359706,0.13892938418741474,0.5689464777710618,-0.03372112953305917,-0.14485632209302154,-0.032307709392307524
Q185,-0.26215869735537245,-0.2682356703479384,-0.007801158892673813,0.19530057230382727,0.516692313231746,-0.07114578113509912,-0.26082431750580376,-0.04174060072846497
Q186,-0.40363701782237843,-0.3252518576780037,0.016381449843477478,0.19929486165844906,0.4562782335205564,-0.10331588452581947,-0.2796228996735489,0.018244200156484397
Q188,-0.3431056221140842,-0.2295871153138434,0.10299977069720122,0.11816605984343856,0.5206402946203832,-0.04199965518950371,-0.1580515063833124,0.0072663105531126475
Q189,0.04827693588159339,0.08314635028791315,0.06972862112116629,-0.1714667480586235,0.45700360708979587,0.028572208213658856,0.14229920901002277,0.20025486975061
Q190,0.11178245809191385,0.12356543710946943,0.008136526732897395,-0.10759651500923668,0.35278200203559235,0.053786889978506426,0.0812003482194787,0.2160669753857938
Q195,-0.07874664513842568,0.10087477791277256,0.023168102804422906,-0.00037749244707293667,0.3912430413391397,0.049288055040568116,0.03229840200821623,0.009582970898654163
Q197P,0.15574649290496143,0.2313077695401802,0.24828754703597145,-0.018755633129946738,0.053816087974602,0.10028130663605682,0.2472199461227264,0.051878972994041386
Q199P,-0.004529145023468992,-0.024467349753726497,0.3347483418907416,0.13849479724014963,0.15821555625305478,0.05165710099471393,-0.08134562988540982,0.007454693429461409
Q224P,-0.1809373090525826,-0.08521278708492189,0.43997591460935126,0.22929674199685052,0.09265695080505859,0.0015414047780511664,-0.02434069836165043,-0.08487346289528905
Q234P,0.22404774247798542,0.03407273621154607,0.07771483937064061,0.31014353329311717,-0.0156078067950618,-0.03512526968801262,-0.23544058059259107,-0.0792878199813856
Q235P,0.11891129054139428,0.22554288027452024,0.03780255341274856,-0.09811818817770772,-0.06869347560620899,0.05275344666466356,0.08621901561838183,0.38423100856075276
Q236P,0.08355115104701712,0.10739566788012175,-0.010482311019835638,0.0533553028310762,0.02443812025827549,0.0025267125070376393,-0.03434535107606657,0.265774190222847
Q237P,0.1627807647859325,0.2420719533124417,0.12993838358029677,-0.11299538808940163,0.05565573552262489,0.08730395463931333,0.30190131486336935,0.187533308395777
Q238P,0.04247823062923143,0.021410414327727258,0.10021236741403076,0.39701463183707314,-0.04521378120093373,-0.02632295798350778,-0.2267394625326618,0.01993219122045536
Q239P,0.3270674025305768,0.2072110751349984,0.08349512618928427,-0.13850410727996648,0.02701949211584862,0.054012672590904136,0.27445156705984003,0.21564497574940825
Q241,0.0399102365313545,0.10210413259270616,0.0982160417825761,0.4015498004083212,0.10048178362782531,0.06364071788411953,0.2700504439699037,0.005279029548237541
Q242,0.27940453586596836,0.15405735712272728,0.05549530161026606,-0.014641860670510383,0.10425578045474503,0.04773042238638783,0.3888981349155431,0.23727183112216582
Q243,-0.03656091709984827,0.0037221164286218977,0.002827948819573003,0.6723494117457347,-0.013618907386885253,-0.028478613598492183,-0.0013561846806247006,-0.08391456442693904
Q245,0.15643020580598027,0.17675464693203066,0.03461049009322615,0.03568400316339173,0.04472116681042216,0.013497045088633182,0.3433218359600616,0.27434180580265755
Q246,-0.04578793075375798,0.002010312579529131,0.07135804591099859,0.6357158661848654,0.02642835291475079,-0.016121604205725573,0.1214296388923597,-0.060372348516949496
Q248,0.20782276925920368,0.22674055829426096,0.09333605529010229,0.27360049288932287,-0.03621393940264428,0.04880011470920758,0.32472373980165514,0.13465416966287738
Q249,-0.09341555461638971,-0.04927628685455247,0.03741739840678695,0.6138779897620259,-0.061769511478957796,-0.0305517574667869,-0.029270835721067163,-0.0007876883110603052
Q250,0.04894983128335923,0.043278879459981455,0.05883135677799451,0.5095616143057333,-0.05923659996076399,-0.018611117552858658,-0.17487185438793273,0.017928977347340117
Q254P,0.25515089627859644,0.17967806121169036,0.11211630616156303,0.16598767577546322,-0.1541450681067425,0.0021378231054657933,-0.1432920966501077,0.102913124660785
Q255P,0.19820628416318467,0.2899936738484085,0.10014363325752934,0.15898071769002178,-0.06607359784386677,0.022831075507298196,-0.10706323969925112,0.015060061500283113
Q259P,0.1632293193148307,0.09781177488550066,0.10029065592998886,0.11768661397818328,0.08573165950501387,-0.05916014228494024,-0.04228956204815276,0.03169061689990731
Q27P,0.38317691420288924,0.38697625647861,0.016661963176529633,0.02837457755882927,-0.109629334242873,0.022566348181410886,-0.027810602898466857,0.09281920149938604
Q28P,0.13970212717200067,0.34909260472373455,-0.014819237608811089,-0.03651596576716331,0.029944281469246988,0.059760954541631016,0.11509163573576325,0.12407538415835116
Q29P,0.14016349091345048,0.4981637882688218,0.1465850659833988,-0.0737269315392189,0.05749270505238394,0.10265452901611079,0.26794534232583284,0.025285154828687838
Q2P,0.01099614470170738,0.024835517328577073,0.1992288997899568,0.17273458009665238,0.10936472560406423,-0.01819279175609027,-0.1340922062721701,-0.04886952448428508
Q30P,0.08673708162836756,0.31595873741594666,0.15629055374352133,-0.1330229412704109,0.05097007411070971,0.10357303161418868,0.24524223001209353,0.18922488701062573
Q32P,0.10127840032038113,0.1460934929874161,0.09851270846312321,0.08188711017726798,0.07426889240150862,0.050119235515128945,0.04902397139814879,0.03947548819370468
Q33P,0.2098154862173729,0.5509535704675864,0.13114208114614473,-0.07911699986425119,0.06183787624379702,0.11111639197196758,0.323483850579291,0.008041034509965229
Q34P,0.14900228091344583,0.5486537915134581,-0.007138091957599046,0.014444478781942188,-0.0016505880980451028,0.07168395925310142,0.06447392285064504,-0.020774997610434557
Q35P,0.17075278270777056,0.3999217028834187,-0.00014643740216416083,-0.05726603834679029,0.05750750158083318,0.053721949613667816,0.11774987150385235,0.14457901664524342
Q37P,0.2522946602260825,0.5321707633833683,0.15628233683348838,-0.040599305681837825,-0.06861840865054696,0.07392380053565906,0.20269810154031748,0.07287579957959495
Q38P,0.283032045424875,0.517964202448433,0.05401885026729375,0.02040491046927971,-0.13925381384320024,0.04809275566687978,0.058302332604380676,0.08361126475991576
Q39P,0.14274439600279537,0.5002653980533712,-0.016395344245057206,0.09378942074192821,-0.09072520756478375,0.020273942038159427,-0.06683937532210112,0.0895470705301815
Q3P,0.026117853257760008,-0.03884928541768646,0.007069786648726684,0.15788673228762007,0.08687390197682755,-0.02737188285395035,-0.23284591057527548,0.046876385585510674
Q41P,0.23349627257536362,0.5410718035675527,0.04127547640744026,0.009716295954796237,-0.11509759660203296,0.035575766864492805,0.0698662732191322,0.13371309996243885
Q42,0.020085197322997687,0.0419904097571101,0.08096836358839729,0.12461826889456691,0.009737048244235822,0.028702534764688346,-0.06078764834682588,0.04935279352480227
Q4P,0.03438986192163978,0.004008518696599003,0.3381752635654918,0.06423500142032922,0.13360250324829573,0.049000111041637304,-0.08260179465837016,0.052864577026034906
Q5P,0.2828487214626427,0.27095045250165467,-0.02481972007115428,0.04148148542947503,-0.08056552154730558,-0.01631854447003603,-0.13672382204506148,0.10731521831365493
Q64P,0.5067087169755219,0.1937357679730959,0.2422831698994591,0.02097213162362419,-0.1254011265987411,0.029096805589690314,0.08489446478957667,0.12424575857978927
Q65P,0.10013023808515592,0.19754655848866448,0.4790369237288406,0.14785308905306419,0.021555484386656446,0.0038087865323474133,0.06055511980318355,-0.1513762071687262
Q66P,0.04684915033179103,0.08762844181856139,0.5490408225501128,0.006315829574889556,-0.011478412077052313,0.01185429405717003,0.03616413652160002,0.13285920595026326
Q68P,-0.005502233887814987,0.051119163802627,0.5750004705614694,0.046876283141030345,0.03660608007974057,0.031105344534693234,0.07370938344828712,0.038553436454090415
Q69P,0.007805015800649732,0.04734146444115215,0.624599983003773,0.09566554335216611,0.058656025021945,0.03103661768692054,-0.005004681877540885,-0.13372341706260554
Q6P,0.7672376967142013,0.2652502773350471,-0.016659769731438755,-0.04276870183030763,-0.1194140539457499,0.05722919883584204,0.05067095769199545,0.0654512969370067
Q70P,0.020898220700703445,0.06126012557223513,0.6889831605497859,0.08493888352229359,0.026423224986456235,0.01773440991482825,0.028570297244508092,-0.10788305492104201
Q71P,0.03474789709157619,0.11896851273408142,0.7253091760386844,0.022279250937622373,-0.08576616968780908,0.06062755650635708,0.12570225843541108,0.06855963741846108
Q72P,-0.06655440118648646,0.009224799400584108,0.7221031399527447,-0.02191433217873303,-0.05482474190356631,0.09420014725186307,0.09544900632538683,0.14326818886545564
Q73P,-0.04452394368658587,0.015281892464544894,0.7743415369149026,0.01911487909338888,-0.09264466985372938,0.07354452088560823,0.08212596257354027,0.12337483656927345
Q77P,0.035520587142732735,0.09000128167208146,0.489144564701126,0.048168558221268656,-0.026433125292387758,-0.012614319443866678,-0.0029347362007863245,0.10231141592653117
Q90,0.06767033501289695,-0.0031772100699278896,0.09760477134484039,0.11435153363764164,0.07537540560740405,0.06881163075681095,0.007115555196543131,0.19885442135411635
